Campaign,Ad Group,Ad type,Final URL,Headline 1,Headline 2,Headline 3,Headline 4,Headline 5,Headline 6,Headline 7,Headline 8,Headline 9,Headline 10,Headline 11,Headline 12,Headline 13,Headline 14,Headline 15,Description 1,Description 2,Description 3,Description 4
Evenox - Photobooth,Photobooth Montreal,Responsive search ad,https://evenox.ca/location-photobooth-montreal/,Location Photobooth Montreal,Photobooth 360 des 599 $,"Livre, installe, ramasse",Photobooth cle en main,Reservation en ligne 24/7,"4,8/5 - 1 000+ evenements",Photos illimitees incluses,Soumission en 24 h,Location Photobooth Laval,"Prix affiches, sans surprise","Rive-Nord, Laval, Montreal",Technicien sur place inclus,"RBC, Desjardins, PwC",Dispo cette fin de semaine,Evenox - Evenementiel,"Photobooth et videobooth 360 livres, installes, ramasses. Photos illimitees et props.","Forfaits des 599 $, prix affiches. Reservation en ligne 24/7 ou soumission en 24 h.","1 000+ evenements depuis 2022. 4,8/5 sur Google. RBC, Desjardins, Polytechnique.","Rive-Nord, Laval et Montreal. Votre equipe ne touche a rien, on s'occupe de tout."
Evenox - Photobooth,Photobooth Laval,Responsive search ad,https://evenox.ca/location-photobooth-laval/,Location Photobooth Montreal,Photobooth 360 des 599 $,"Livre, installe, ramasse",Photobooth cle en main,Reservation en ligne 24/7,"4,8/5 - 1 000+ evenements",Photos illimitees incluses,Soumission en 24 h,Location Photobooth Laval,"Prix affiches, sans surprise","Rive-Nord, Laval, Montreal",Technicien sur place inclus,"RBC, Desjardins, PwC",Dispo cette fin de semaine,Evenox - Evenementiel,"Photobooth et videobooth 360 livres, installes, ramasses. Photos illimitees et props.","Forfaits des 599 $, prix affiches. Reservation en ligne 24/7 ou soumission en 24 h.","1 000+ evenements depuis 2022. 4,8/5 sur Google. RBC, Desjardins, Polytechnique.","Rive-Nord, Laval et Montreal. Votre equipe ne touche a rien, on s'occupe de tout."
Evenox - Photobooth,Photobooth Rive-Nord,Responsive search ad,https://evenox.ca/location-photobooth-rive-nord/,Location Photobooth Montreal,Photobooth 360 des 599 $,"Livre, installe, ramasse",Photobooth cle en main,Reservation en ligne 24/7,"4,8/5 - 1 000+ evenements",Photos illimitees incluses,Soumission en 24 h,Location Photobooth Laval,"Prix affiches, sans surprise","Rive-Nord, Laval, Montreal",Technicien sur place inclus,"RBC, Desjardins, PwC",Dispo cette fin de semaine,Evenox - Evenementiel,"Photobooth et videobooth 360 livres, installes, ramasses. Photos illimitees et props.","Forfaits des 599 $, prix affiches. Reservation en ligne 24/7 ou soumission en 24 h.","1 000+ evenements depuis 2022. 4,8/5 sur Google. RBC, Desjardins, Polytechnique.","Rive-Nord, Laval et Montreal. Votre equipe ne touche a rien, on s'occupe de tout."
Evenox - Photobooth,Videobooth 360,Responsive search ad,https://evenox.ca/location-videobooth-360/,Location Photobooth Montreal,Photobooth 360 des 599 $,"Livre, installe, ramasse",Photobooth cle en main,Reservation en ligne 24/7,"4,8/5 - 1 000+ evenements",Photos illimitees incluses,Soumission en 24 h,Location Photobooth Laval,"Prix affiches, sans surprise","Rive-Nord, Laval, Montreal",Technicien sur place inclus,"RBC, Desjardins, PwC",Dispo cette fin de semaine,Evenox - Evenementiel,"Photobooth et videobooth 360 livres, installes, ramasses. Photos illimitees et props.","Forfaits des 599 $, prix affiches. Reservation en ligne 24/7 ou soumission en 24 h.","1 000+ evenements depuis 2022. 4,8/5 sur Google. RBC, Desjardins, Polytechnique.","Rive-Nord, Laval et Montreal. Votre equipe ne touche a rien, on s'occupe de tout."
Evenox - Mobilier,Tables et chaises Montreal,Responsive search ad,https://evenox.ca/location-tables-chaises-montreal/,Location Tables et Chaises,Forfaits mobilier des 449 $,"Livre, monte, ramasse",Chaises Chiavari et Martha,Pour 12 a 200 invites,"4,8/5 - 1 000+ evenements","Prix affiches, sans surprise",Soumission en 24 h,"Rive-Nord, Laval, Montreal",Reservation en ligne 24/7,Nappes et vaisselle aussi,Mobilier de reception,Location mariage et gala,Disponible cette semaine,Evenox - Evenementiel,"Tables, chaises et nappes livrees, montees et ramassees. Forfaits 12 a 200 places.","Forfaits des 449 $, prix affiches. Reservation en ligne 24/7 ou soumission en 24 h.","1 000+ evenements depuis 2022. 4,8/5 sur Google. Municipalites et entreprises.","Votre equipe ne monte rien. On livre, on installe et on ramasse. Cle en main."
Evenox - Mobilier,Tables et chaises Laval,Responsive search ad,https://evenox.ca/location-tables-chaises-laval/,Location Tables et Chaises,Forfaits mobilier des 449 $,"Livre, monte, ramasse",Chaises Chiavari et Martha,Pour 12 a 200 invites,"4,8/5 - 1 000+ evenements","Prix affiches, sans surprise",Soumission en 24 h,"Rive-Nord, Laval, Montreal",Reservation en ligne 24/7,Nappes et vaisselle aussi,Mobilier de reception,Location mariage et gala,Disponible cette semaine,Evenox - Evenementiel,"Tables, chaises et nappes livrees, montees et ramassees. Forfaits 12 a 200 places.","Forfaits des 449 $, prix affiches. Reservation en ligne 24/7 ou soumission en 24 h.","1 000+ evenements depuis 2022. 4,8/5 sur Google. Municipalites et entreprises.","Votre equipe ne monte rien. On livre, on installe et on ramasse. Cle en main."
Evenox - Mobilier,Chaises Chiavari,Responsive search ad,https://evenox.ca/forfaits-tables-chaises/,Location Tables et Chaises,Forfaits mobilier des 449 $,"Livre, monte, ramasse",Chaises Chiavari et Martha,Pour 12 a 200 invites,"4,8/5 - 1 000+ evenements","Prix affiches, sans surprise",Soumission en 24 h,"Rive-Nord, Laval, Montreal",Reservation en ligne 24/7,Nappes et vaisselle aussi,Mobilier de reception,Location mariage et gala,Disponible cette semaine,Evenox - Evenementiel,"Tables, chaises et nappes livrees, montees et ramassees. Forfaits 12 a 200 places.","Forfaits des 449 $, prix affiches. Reservation en ligne 24/7 ou soumission en 24 h.","1 000+ evenements depuis 2022. 4,8/5 sur Google. Municipalites et entreprises.","Votre equipe ne monte rien. On livre, on installe et on ramasse. Cle en main."
Evenox - Corporatif,Party de bureau,Responsive search ad,https://evenox.ca/forfait-party-de-bureau/,Party de Bureau Cle en Main,Evenement corporatif livre,"Tout inclus, zero gestion","Mobilier, decor, animation","5 a 7, gala, team building","4,8/5 - 1 000+ evenements","RBC, PwC, Desjardins",Soumission en 24 h,"Rive-Nord, Laval, Montreal",Prix affiches par personne,Photobooth et jeux inclus,Party de Noel entreprise,Installation par notre equipe,Reservez votre date 2026,Evenox - Evenementiel,"Party de bureau cle en main : mobilier, decor, animation, livraison et installation.","Des 45 $ par employe, prix affiches. Soumission detaillee en moins de 24 h.","1 000+ evenements depuis 2022. RBC, PwC, Desjardins, Polytechnique Montreal.","Votre equipe ne gere rien. On livre, on installe, on ramasse. Vous profitez."
Evenox - Corporatif,Party de Noel,Responsive search ad,https://evenox.ca/party-noel-corporatif/,Party de Bureau Cle en Main,Evenement corporatif livre,"Tout inclus, zero gestion","Mobilier, decor, animation","5 a 7, gala, team building","4,8/5 - 1 000+ evenements","RBC, PwC, Desjardins",Soumission en 24 h,"Rive-Nord, Laval, Montreal",Prix affiches par personne,Photobooth et jeux inclus,Party de Noel entreprise,Installation par notre equipe,Reservez votre date 2026,Evenox - Evenementiel,"Party de bureau cle en main : mobilier, decor, animation, livraison et installation.","Des 45 $ par employe, prix affiches. Soumission detaillee en moins de 24 h.","1 000+ evenements depuis 2022. RBC, PwC, Desjardins, Polytechnique Montreal.","Votre equipe ne gere rien. On livre, on installe, on ramasse. Vous profitez."
Evenox - Corporatif,Team building,Responsive search ad,https://evenox.ca/team-building-activitecorpo/,Party de Bureau Cle en Main,Evenement corporatif livre,"Tout inclus, zero gestion","Mobilier, decor, animation","5 a 7, gala, team building","4,8/5 - 1 000+ evenements","RBC, PwC, Desjardins",Soumission en 24 h,"Rive-Nord, Laval, Montreal",Prix affiches par personne,Photobooth et jeux inclus,Party de Noel entreprise,Installation par notre equipe,Reservez votre date 2026,Evenox - Evenementiel,"Party de bureau cle en main : mobilier, decor, animation, livraison et installation.","Des 45 $ par employe, prix affiches. Soumission detaillee en moins de 24 h.","1 000+ evenements depuis 2022. RBC, PwC, Desjardins, Polytechnique Montreal.","Votre equipe ne gere rien. On livre, on installe, on ramasse. Vous profitez."
