Type,Text,Description1,Description2,Final URL
Sitelink,Express 72h,Tables & chaises prix fixe,Zone Ste-Thérèse Laval Terrebonne,https://evenox.ca/
Sitelink,Forfaits mobilier,Livré placé dès 649 $,Nappes incluses,https://evenox.ca/forfaits-tables-chaises/
Sitelink,Jeux gonflables,Dès 100 $,Montage dispo,https://evenox.ca/location-jeux-gonflables/
Sitelink,Photobooth,Dès 599 $,Classique ou 360,https://evenox.ca/photobooth/
Sitelink,Forfaits enfants,Dès 499 $ clé en main,Livré chez toi,https://evenox.ca/forfaits-fete-enfants/
Sitelink,Nous joindre,514-559-1893,Réponse rapide,https://evenox.ca/contact/
Callout,Prix affichés en ligne,,,
Callout,Note 4.8/5 Google,,,
Callout,Près de 1000 clients,,,
Callout,Livraison disponible,,,
Callout,Paiement à la réservation,,,
Call extension,514-559-1893,,,
